PCT,Number of Tickets,Latitude,Longitude
110,159,"40.7452390,",-73.869946
115,83,40.75685,-73.87553°
109,64,40.76235,-73.82698
83,52,40.70167,-73.92361
73,50,40.67085,-73.91374
111,50,40.76019,-73.76787
10,48,40.7427,-73.9986
114,47,40.7693,-73.91548
72,44,40.6583,-74.0009
63,44,40.6279,-73.9416
67,39,40.6488,-73.9501
84,34,40.6954412,-73.9829003
6,25,40.680907,-73.974176
122,23,40.5742,-74.1057
44,20,40.8376499,-73.91951
112,19,40.7224,-73.8515
60,17,40.5765,-73.9761
121,16,40.6237,-74.1507
113,16,40.6798,-73.7758
5,12,40.7162,-73.9975
46,11,40.854,-73.9001
13,10,40.7367396,-73.9827007
34,9,,
45,9,,
0,9,,
108,8,,
71,7,,
104,7,,
25,7,,
105,6,,
1 6,,,
100,5,,
18,5,,
77,4,,
33,4,,
88,3,,
123,3,,
79,3,,
70,2,,
41,2,,
23,2,,
47,2,,
40,1,,
32,1,,
7 1,,,
28,1,,
82,1,,
107,1,,
43,1,,
17,1,,
11 1,,,
94,1,,
15,1,,
14,1,,
75,1,,
42,1,,
