,SUMMONS,PRECINCT,VIOLATION,DESCRIPTION,TIME,ts_month,ts,dstring,ohe_codes,ohe_pct,features,normFeatures,Quantile,pcaFeatures
0,1472275238,110,10,NO STOPPING-DAY/TIME LIMITS,0632P,7,07142021,22.0,"(99,[10],[1.0])","(123,[110],[1.0])","(224,[0,1,112,135],[1472275238.0,22.0,1.0,1.0])","(224,[0,1,112,135],[0.9999999836987005,1.4942857879792318e-08,6.792208127178326e-10,6.792208127178326e-10])",29.0,"[-1472275237.99996,-336.719975273482,-33.15124289011559,31.093656235778802]"
1,1472275240,110,10,NO STOPPING-DAY/TIME LIMITS,0632P,7,07142021,22.0,"(99,[10],[1.0])","(123,[110],[1.0])","(224,[0,1,112,135],[1472275240.0,22.0,1.0,1.0])","(224,[0,1,112,135],[0.9999999836987005,1.494285785949332e-08,6.792208117951508e-10,6.792208117951508e-10])",29.0,"[-1472275239.99996,-336.71997570102957,-33.15124293603693,31.093656278700266]"
2,1462146922,6,10,NO STOPPING-DAY/TIME LIMITS,0803P,6,06142021,22.0,"(99,[10],[1.0])","(123,[6],[1.0])","(224,[0,1,8,135],[1462146922.0,22.0,1.0,1.0])","(224,[0,1,8,135],[0.9999999835857811,1.5046367302674653e-08,6.839257864852114e-10,6.839257864852114e-10])",3.0,"[-1462146921.9999602,-334.564774944271,-33.242447045147166,31.125461237883293]"
3,1462147057,6,10,NO STOPPING-DAY/TIME LIMITS,0454P,7,07102021,22.0,"(99,[10],[1.0])","(123,[6],[1.0])","(224,[0,1,8,135],[1462147057.0,22.0,1.0,1.0])","(224,[0,1,8,135],[0.9999999835857827,1.504636591344397e-08,6.839257233383623e-10,6.839257233383623e-10])",3.0,"[-1462147056.9999602,-334.564803803729,-33.24245014483743,31.12546413508202]"
4,1462147069,6,10,NO STOPPING-DAY/TIME LIMITS,0504P,7,07022021,22.0,"(99,[10],[1.0])","(123,[6],[1.0])","(224,[0,1,8,135],[1462147069.0,22.0,1.0,1.0])","(224,[0,1,8,135],[0.9999999835857828,1.5046365789956812e-08,6.839257177253096e-10,6.839257177253096e-10])",3.0,"[-1462147068.9999602,-334.56480636901415,-33.24245042036545,31.125464392610795]"
5,1457734000,46,14,NO STANDING-DAY/TIME LIMITS,1046A,7,07022021,2.0,"(99,[14],[1.0])","(123,[46],[1.0])","(224,[0,1,48,139],[1457734000.0,2.0,1.0,1.0])","(224,[0,1,48,139],[0.9999999972560152,1.3719924173491394e-09,6.859962086745697e-10,6.859962086745697e-10])",13.0,"[-1457733999.9999645,-313.6169517890802,-33.53948082090134,31.792273554662266]"
6,1457734011,46,14,NO STANDING-DAY/TIME LIMITS,1058A,7,07022021,2.0,"(99,[14],[1.0])","(123,[46],[1.0])","(224,[0,1,48,139],[1457734011.0,2.0,1.0,1.0])","(224,[0,1,48,139],[0.9999999972560152,1.371992406996142e-09,6.85996203498071e-10,6.85996203498071e-10])",13.0,"[-1457734010.9999645,-313.6169541405916,-33.53948107346869,31.79227379073031]"
7,1458019159,60,14,NO STANDING-DAY/TIME LIMITS,0700P,7,07222021,2.0,"(99,[14],[1.0])","(123,[60],[1.0])","(224,[0,1,62,139],[1458019159.0,2.0,1.0,1.0])","(224,[0,1,62,139],[0.9999999972565519,1.3717240834371667e-09,6.858620417185834e-10,6.858620417185834e-10])",14.0,"[-1458019158.9999645,-313.67792059884295,-33.57053557487324,31.82270960234499]"
8,1459587674,109,14,NO STANDING-DAY/TIME LIMITS,0216P,7,07212021,2.0,"(99,[14],[1.0])","(123,[109],[1.0])","(224,[0,1,111,139],[1459587674.0,2.0,1.0,1.0])","(224,[0,1,111,139],[0.9999999972595001,1.3702499891890702e-09,6.851249945945351e-10,6.851249945945351e-10])",28.0,"[-1459587673.9999645,-314.01229084349893,-33.56528138384783,31.694001466997832]"
9,1460741882,60,14,NO STANDING-DAY/TIME LIMITS,0925A,6,06292021,2.0,"(99,[14],[1.0])","(123,[60],[1.0])","(224,[0,1,62,139],[1460741882.0,2.0,1.0,1.0])","(224,[0,1,62,139],[0.9999999972616654,1.3691672835347175e-09,6.845836417673588e-10,6.845836417673588e-10])",14.0,"[-1460741881.9999645,-314.2599673394502,-33.63305111534405,31.881141229057416]"
10,1460912860,18,14,NO STANDING-DAY/TIME LIMITS,1116P,7,07072021,2.0,"(99,[14],[1.0])","(123,[18],[1.0])","(224,[0,1,20,139],[1460912860.0,2.0,1.0,1.0])","(224,[0,1,20,139],[0.999999997261986,1.3690070429826812e-09,6.845035214913406e-10,6.845035214913406e-10])",6.0,"[-1460912859.9999645,-314.2966954733462,-33.622888713735165,31.873207196433597]"
11,1460912871,18,14,NO STANDING-DAY/TIME LIMITS,1054P,7,07072021,2.0,"(99,[14],[1.0])","(123,[18],[1.0])","(224,[0,1,20,139],[1460912871.0,2.0,1.0,1.0])","(224,[0,1,20,139],[0.999999997261986,1.3690070326746898e-09,6.845035163373449e-10,6.845035163373449e-10])",6.0,"[-1460912870.9999645,-314.2966978248575,-33.62288896630252,31.87320743250164]"
12,1460912937,18,14,NO STANDING-DAY/TIME LIMITS,0222A,7,07102021,2.0,"(99,[14],[1.0])","(123,[18],[1.0])","(224,[0,1,20,139],[1460912937.0,2.0,1.0,1.0])","(224,[0,1,20,139],[0.9999999972619861,1.3690069708267442e-09,6.845034854133721e-10,6.845034854133721e-10])",6.0,"[-1460912936.9999645,-314.2967119339259,-33.62289048170665,31.873208848909908]"
13,1472292418,110,14,NO STANDING-DAY/TIME LIMITS,1134P,7,07142021,2.0,"(99,[14],[1.0])","(123,[110],[1.0])","(224,[0,1,112,139],[1472292418.0,2.0,1.0,1.0])","(224,[0,1,112,139],[0.9999999972831484,1.3584257924000915e-09,6.792128962000458e-10,6.792128962000458e-10])",29.0,"[-1472292417.9999642,-316.72524605290545,-33.54083965655337,31.839162981556946]"
14,1472321613,110,14,NO STANDING-DAY/TIME LIMITS,0620P,7,07152021,2.0,"(99,[14],[1.0])","(123,[110],[1.0])","(224,[0,1,112,139],[1472321613.0,2.0,1.0,1.0])","(224,[0,1,112,139],[0.9999999972832023,1.358398855866286e-09,6.79199427933143e-10,6.79199427933143e-10])",29.0,"[-1472321612.9999642,-316.73148717790866,-33.54150999327292,31.839789527607305]"
15,1461550610,109,14,NO STANDING-DAY/TIME LIMITS,0130A,6,06262021,2.0,"(99,[14],[1.0])","(123,[109],[1.0])","(224,[0,1,111,139],[1461550610.0,2.0,1.0,1.0])","(224,[0,1,111,139],[0.9999999972631807,1.3684096745212e-09,6.842048372606e-10,6.842048372606e-10])",28.0,"[-1461550609.9999645,-314.4319150582357,-33.61035170681114,31.7361275090566]"
16,1462125025,122,14,NO STANDING-DAY/TIME LIMITS,0415P,6,06272021,2.0,"(99,[14],[1.0])","(123,[122],[1.0])","(224,[0,1,124,139],[1462125025.0,2.0,1.0,1.0])","(224,[0,1,124,139],[0.9999999972642558,1.367872076827706e-09,6.83936038413853e-10,6.83936038413853e-10])",36.0,"[-1462125024.9999645,-314.55791441257384,-33.64417902718203,31.89447011966821]"
17,1462129018,10,14,NO STANDING-DAY/TIME LIMITS,1031A,6,06302021,2.0,"(99,[14],[1.0])","(123,[10],[1.0])","(224,[0,1,12,139],[1462129018.0,2.0,1.0,1.0])","(224,[0,1,12,139],[0.9999999972642634,1.3678683412386298e-09,6.839341706193149e-10,6.839341706193149e-10])",4.0,"[-1462129017.9999645,-314.5548069206478,-33.69209988621872,32.07958420300866]"
18,1462129031,10,14,NO STANDING-DAY/TIME LIMITS,1026A,6,06292021,2.0,"(99,[14],[1.0])","(123,[10],[1.0])","(224,[0,1,12,139],[1462129031.0,2.0,1.0,1.0])","(224,[0,1,12,139],[0.9999999972642634,1.3678683290767152e-09,6.839341645383576e-10,6.839341645383576e-10])",4.0,"[-1462129030.9999645,-314.55480969970677,-33.692100184707414,32.07958448199817]"
